contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
NODE_1_length_8787_cov_42.186682	8787	No	NA	8	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_2_length_8461_cov_35.515506	8461	No	NA	10	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_3_length_8266_cov_4.608011	8266	No	NA	10	0	10	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
NODE_4_length_8160_cov_4.764444	8160	No	NA	10	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_5_length_8047_cov_5.246675	8047	No	NA	8	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_6_length_7907_cov_41.774202	7907	No	NA	7	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.02	no viral genes detected
NODE_7_length_7902_cov_4.397188	7902	No	NA	8	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_8_length_7628_cov_6.057608	7628	No	NA	2	0	2	Low-quality	Genome-fragment	3.4	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NODE_9_length_7382_cov_37.773990	7382	No	NA	10	0	9	Low-quality	Genome-fragment	8.47	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NODE_10_length_7142_cov_34.125690	7142	No	NA	6	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_11_length_7014_cov_4.871270	7014	No	NA	7	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
NODE_12_length_6854_cov_30.343958	6854	No	NA	12	0	4	Low-quality	Genome-fragment	15.63	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NODE_13_length_6847_cov_5.097046	6847	No	NA	7	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_14_length_6784_cov_4.875056	6784	No	NA	8	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_15_length_6700_cov_4.563793	6700	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_16_length_6653_cov_3.767184	6653	No	NA	7	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_17_length_6650_cov_5.144531	6650	No	NA	7	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_18_length_6625_cov_39.948992	6625	No	NA	7	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_19_length_6605_cov_4.660386	6605	No	NA	6	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_20_length_6592_cov_4.933231	6592	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_21_length_6489_cov_40.362913	6489	No	NA	8	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_22_length_6476_cov_4.584466	6476	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_23_length_6424_cov_4.848747	6424	No	NA	6	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_24_length_6401_cov_35.979285	6401	No	NA	7	0	4	Low-quality	Genome-fragment	3.7	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
NODE_25_length_6380_cov_4.864192	6380	No	NA	7	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_26_length_6264_cov_4.154356	6264	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_27_length_6119_cov_4.996690	6119	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_28_length_6109_cov_4.485577	6109	No	NA	9	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.02	no viral genes detected
NODE_29_length_6085_cov_30.800433	6085	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_30_length_6075_cov_33.801267	6075	No	NA	10	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.97	no viral genes detected; high kmer_freq may indicate large duplication; low-confidence ITR
NODE_31_length_6052_cov_4.570544	6052	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_32_length_6037_cov_4.686913	6037	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_33_length_6024_cov_38.955608	6024	No	NA	10	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_34_length_6003_cov_5.003881	6003	No	NA	8	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_35_length_5891_cov_4.641727	5891	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_36_length_5881_cov_5.047381	5881	No	NA	4	0	3	Low-quality	Genome-fragment	5.63	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
NODE_37_length_5858_cov_5.190624	5858	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_38_length_5857_cov_5.256920	5857	No	NA	4	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_39_length_5793_cov_34.334500	5793	No	NA	10	9	0	Low-quality	Genome-fragment	12.12	AAI-based (high-confidence)	0.0	1.0	
NODE_40_length_5784_cov_29.101104	5784	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_41_length_5767_cov_3.423902	5767	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_42_length_5759_cov_4.112636	5759	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_43_length_5726_cov_4.725615	5726	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_44_length_5714_cov_4.295370	5714	Yes	2069	6	1	3	Low-quality	Genome-fragment	2.18	AAI-based (high-confidence)	63.79	1.0	
NODE_45_length_5705_cov_43.921997	5705	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_46_length_5686_cov_34.477982	5686	No	NA	5	0	4	Low-quality	Genome-fragment	16.67	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
NODE_47_length_5659_cov_28.663741	5659	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_48_length_5626_cov_4.317535	5626	No	NA	5	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_49_length_5624_cov_37.833604	5624	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_50_length_5583_cov_5.092263	5583	No	NA	7	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_51_length_5571_cov_39.162359	5571	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_52_length_5569_cov_5.481428	5569	No	NA	7	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_53_length_5565_cov_30.039541	5565	No	NA	10	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_54_length_5545_cov_48.761704	5545	No	NA	7	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_55_length_5544_cov_4.974758	5544	No	NA	4	0	4	Low-quality	Genome-fragment	2.93	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
NODE_56_length_5544_cov_4.918785	5544	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_57_length_5537_cov_5.627473	5537	No	NA	6	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_58_length_5519_cov_70.470967	5519	No	NA	5	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.97	no viral genes detected; high kmer_freq may indicate large duplication; low-confidence ITR
NODE_59_length_5496_cov_42.088208	5496	No	NA	7	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_60_length_5486_cov_37.269921	5486	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NODE_61_length_5474_cov_4.432648	5474	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
