contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
NODE_1_length_8787_cov_42.186682	8787	8	0	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_2_length_8461_cov_35.515506	8461	10	0	8	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_3_length_8266_cov_4.608011	8266	10	0	10	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_4_length_8160_cov_4.764444	8160	10	0	8	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_5_length_8047_cov_5.246675	8047	8	0	8	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_6_length_7907_cov_41.774202	7907	7	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_7_length_7902_cov_4.397188	7902	8	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_8_length_7628_cov_6.057608	7628	2	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_9_length_7382_cov_37.773990	7382	10	0	9	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_10_length_7142_cov_34.125690	7142	6	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_11_length_7014_cov_4.871270	7014	7	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_12_length_6854_cov_30.343958	6854	12	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_13_length_6847_cov_5.097046	6847	7	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_14_length_6784_cov_4.875056	6784	8	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_15_length_6700_cov_4.563793	6700	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_16_length_6653_cov_3.767184	6653	7	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_17_length_6650_cov_5.144531	6650	7	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_18_length_6625_cov_39.948992	6625	7	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_19_length_6605_cov_4.660386	6605	6	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_20_length_6592_cov_4.933231	6592	5	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_21_length_6489_cov_40.362913	6489	8	0	8	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_22_length_6476_cov_4.584466	6476	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_23_length_6424_cov_4.848747	6424	6	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_24_length_6401_cov_35.979285	6401	7	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_25_length_6380_cov_4.864192	6380	7	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_26_length_6264_cov_4.154356	6264	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_27_length_6119_cov_4.996690	6119	4	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_28_length_6109_cov_4.485577	6109	9	0	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_29_length_6085_cov_30.800433	6085	5	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_30_length_6075_cov_33.801267	6075	10	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_31_length_6052_cov_4.570544	6052	4	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_32_length_6037_cov_4.686913	6037	5	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_33_length_6024_cov_38.955608	6024	10	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_34_length_6003_cov_5.003881	6003	8	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_35_length_5891_cov_4.641727	5891	4	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_36_length_5881_cov_5.047381	5881	4	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_37_length_5858_cov_5.190624	5858	6	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NODE_38_length_5857_cov_5.256920	5857	4	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
