locus_tag	ftype	length_bp	gene	EC_number	COG	product
BOPHJHGO_00001	CDS	2052				hypothetical protein
BOPHJHGO_00002	CDS	1323				hypothetical protein
BOPHJHGO_00003	CDS	1032				hypothetical protein
BOPHJHGO_00004	CDS	900				hypothetical protein
BOPHJHGO_00005	CDS	759				hypothetical protein
BOPHJHGO_00006	CDS	609				hypothetical protein
BOPHJHGO_00007	CDS	258				hypothetical protein
BOPHJHGO_00008	CDS	1179				hypothetical protein
BOPHJHGO_00009	CDS	447				hypothetical protein
BOPHJHGO_00010	CDS	1362				hypothetical protein
BOPHJHGO_00011	CDS	702				hypothetical protein
BOPHJHGO_00012	CDS	993				hypothetical protein
BOPHJHGO_00013	CDS	1677				hypothetical protein
BOPHJHGO_00014	CDS	315				hypothetical protein
BOPHJHGO_00015	CDS	258				hypothetical protein
BOPHJHGO_00016	CDS	339				hypothetical protein
BOPHJHGO_00017	CDS	1839				hypothetical protein
BOPHJHGO_00018	CDS	939				hypothetical protein
BOPHJHGO_00019	CDS	291				hypothetical protein
BOPHJHGO_00020	CDS	756				hypothetical protein
BOPHJHGO_00021	CDS	501				hypothetical protein
BOPHJHGO_00022	CDS	1062				hypothetical protein
BOPHJHGO_00023	CDS	774				hypothetical protein
BOPHJHGO_00024	CDS	792				hypothetical protein
BOPHJHGO_00025	CDS	417				hypothetical protein
BOPHJHGO_00026	CDS	672				hypothetical protein
BOPHJHGO_00027	CDS	711				hypothetical protein
BOPHJHGO_00028	CDS	822				hypothetical protein
BOPHJHGO_00029	CDS	750				hypothetical protein
BOPHJHGO_00030	CDS	924				hypothetical protein
BOPHJHGO_00031	CDS	1062				hypothetical protein
BOPHJHGO_00032	CDS	885				hypothetical protein
BOPHJHGO_00033	CDS	1599				hypothetical protein
BOPHJHGO_00034	CDS	1890				hypothetical protein
BOPHJHGO_00035	CDS	309				hypothetical protein
BOPHJHGO_00036	CDS	522				hypothetical protein
BOPHJHGO_00037	CDS	543				hypothetical protein
BOPHJHGO_00038	CDS	1017				hypothetical protein
BOPHJHGO_00039	CDS	1167				hypothetical protein
BOPHJHGO_00040	CDS	363				hypothetical protein
BOPHJHGO_00041	CDS	315				hypothetical protein
BOPHJHGO_00042	CDS	315				hypothetical protein
BOPHJHGO_00043	CDS	1959				hypothetical protein
BOPHJHGO_00044	CDS	1311				hypothetical protein
BOPHJHGO_00045	CDS	684				hypothetical protein
BOPHJHGO_00046	CDS	672				hypothetical protein
BOPHJHGO_00047	CDS	1407				hypothetical protein
BOPHJHGO_00048	CDS	1134				hypothetical protein
BOPHJHGO_00049	CDS	1230				hypothetical protein
BOPHJHGO_00050	CDS	1323				hypothetical protein
BOPHJHGO_00051	CDS	1221				hypothetical protein
BOPHJHGO_00052	CDS	4026				hypothetical protein
BOPHJHGO_00053	CDS	129				hypothetical protein
BOPHJHGO_00054	CDS	525				hypothetical protein
BOPHJHGO_00055	CDS	522				hypothetical protein
BOPHJHGO_00056	CDS	741				hypothetical protein
BOPHJHGO_00057	CDS	444				hypothetical protein
BOPHJHGO_00058	CDS	1788				hypothetical protein
BOPHJHGO_00059	CDS	567				hypothetical protein
BOPHJHGO_00060	CDS	819				hypothetical protein
BOPHJHGO_00061	CDS	396				hypothetical protein
BOPHJHGO_00062	CDS	744				hypothetical protein
BOPHJHGO_00063	CDS	441				hypothetical protein
BOPHJHGO_00064	CDS	1647				hypothetical protein
BOPHJHGO_00065	CDS	1401				hypothetical protein
BOPHJHGO_00066	CDS	933				hypothetical protein
BOPHJHGO_00067	CDS	1302				hypothetical protein
BOPHJHGO_00068	CDS	327				hypothetical protein
BOPHJHGO_00069	CDS	1521				hypothetical protein
BOPHJHGO_00070	CDS	822				hypothetical protein
BOPHJHGO_00071	CDS	1284				hypothetical protein
BOPHJHGO_00072	CDS	831				hypothetical protein
BOPHJHGO_00073	CDS	570				hypothetical protein
BOPHJHGO_00074	CDS	642	dpoZ			DNA polymerase DpoZ
BOPHJHGO_00075	CDS	1188				hypothetical protein
BOPHJHGO_00076	CDS	183				hypothetical protein
BOPHJHGO_00077	CDS	915				hypothetical protein
BOPHJHGO_00078	CDS	468				hypothetical protein
BOPHJHGO_00079	CDS	264				hypothetical protein
BOPHJHGO_00080	CDS	102				hypothetical protein
BOPHJHGO_00081	CDS	1023				hypothetical protein
BOPHJHGO_00082	CDS	249				hypothetical protein
BOPHJHGO_00083	CDS	351				hypothetical protein
BOPHJHGO_00084	CDS	792				hypothetical protein
BOPHJHGO_00085	CDS	693				hypothetical protein
BOPHJHGO_00086	CDS	654				hypothetical protein
BOPHJHGO_00087	CDS	1314				hypothetical protein
BOPHJHGO_00088	CDS	519				hypothetical protein
BOPHJHGO_00089	CDS	1251				hypothetical protein
BOPHJHGO_00090	CDS	1248				hypothetical protein
BOPHJHGO_00091	CDS	1299				hypothetical protein
BOPHJHGO_00092	CDS	255				hypothetical protein
BOPHJHGO_00093	CDS	333				hypothetical protein
BOPHJHGO_00094	CDS	381				hypothetical protein
BOPHJHGO_00095	CDS	411				hypothetical protein
BOPHJHGO_00096	CDS	1467				hypothetical protein
BOPHJHGO_00097	CDS	2142				hypothetical protein
BOPHJHGO_00098	CDS	1191				hypothetical protein
BOPHJHGO_00099	CDS	600				hypothetical protein
BOPHJHGO_00100	CDS	612				hypothetical protein
BOPHJHGO_00101	CDS	1056				hypothetical protein
BOPHJHGO_00102	CDS	495				hypothetical protein
BOPHJHGO_00103	CDS	1569				hypothetical protein
BOPHJHGO_00104	CDS	744				hypothetical protein
BOPHJHGO_00105	CDS	1143				hypothetical protein
BOPHJHGO_00106	CDS	804				hypothetical protein
BOPHJHGO_00107	CDS	1875				hypothetical protein
BOPHJHGO_00108	CDS	660				hypothetical protein
BOPHJHGO_00109	CDS	1134				hypothetical protein
BOPHJHGO_00110	CDS	513				hypothetical protein
BOPHJHGO_00111	CDS	996				hypothetical protein
BOPHJHGO_00112	CDS	609				hypothetical protein
BOPHJHGO_00113	CDS	891				hypothetical protein
BOPHJHGO_00114	CDS	1020				hypothetical protein
BOPHJHGO_00115	CDS	1563				hypothetical protein
BOPHJHGO_00116	CDS	582				hypothetical protein
BOPHJHGO_00117	CDS	867				hypothetical protein
BOPHJHGO_00118	CDS	552				hypothetical protein
BOPHJHGO_00119	CDS	2145				hypothetical protein
BOPHJHGO_00120	CDS	1527				hypothetical protein
BOPHJHGO_00121	CDS	555				hypothetical protein
BOPHJHGO_00122	CDS	717				hypothetical protein
BOPHJHGO_00123	CDS	354				hypothetical protein
BOPHJHGO_00124	CDS	1398				hypothetical protein
BOPHJHGO_00125	CDS	918				hypothetical protein
BOPHJHGO_00126	CDS	1083				hypothetical protein
BOPHJHGO_00127	CDS	630				hypothetical protein
BOPHJHGO_00128	CDS	423				hypothetical protein
BOPHJHGO_00129	CDS	528				hypothetical protein
BOPHJHGO_00130	CDS	576				hypothetical protein
BOPHJHGO_00131	CDS	1896				hypothetical protein
BOPHJHGO_00132	CDS	315				hypothetical protein
BOPHJHGO_00133	CDS	582				hypothetical protein
BOPHJHGO_00134	CDS	1893				hypothetical protein
BOPHJHGO_00135	CDS	384				hypothetical protein
