contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
NODE_1_length_8787_cov_42.186682	8787	NA	42480.761793970596	20.68465731056443	low	10.2824914415191	2	CheckV-054221	47.94	21.57	NA	NA	0	1.0
NODE_2_length_8461_cov_35.515506	8461	NA	329018.0	2.571591827802734	low	25.5595308871383	1	CheckV-000335	27.6	12.88	NA	NA	0	1.0
NODE_3_length_8266_cov_4.608011	8266	NA	86899.63841732978	9.512122432895612	low	22.0478038089032	2	CheckV-000708	23.6	23.03	NA	NA	0	1.01
NODE_4_length_8160_cov_4.764444	8160	NA	132597.6900390918	6.153953358911689	low	15.7472323702244	139	CheckV-001132	40.12	18.51	NA	NA	0	1.0
NODE_5_length_8047_cov_5.246675	8047	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_6_length_7907_cov_41.774202	7907	NA	220647.08340234592	3.5835506538655353	low	16.4293487069065	4	CheckV-002201	24.9	28.09	NA	NA	0	1.02
NODE_7_length_7902_cov_4.397188	7902	NA	101444.02584160627	7.789517356436649	low	29.17924392698	28	CheckV-007598	23.9	16.67	NA	NA	0	1.0
NODE_8_length_7628_cov_6.057608	7628	NA	224491.36427994235	3.3979035338249486	high	4.89730069188042	5	CheckV-001972	25.34	100.0	NA	NA	0	1.0
NODE_9_length_7382_cov_37.773990	7382	NA	87205.45389005708	8.465066885961905	high	3.896834889588	14	CheckV-059690	72.7	20.29	NA	NA	0	1.0
NODE_10_length_7142_cov_34.125690	7142	NA	72862.34429181973	9.802045308061594	low	23.3177068073054	4	CheckV-059198	29.5	19.89	NA	NA	0	1.0
NODE_11_length_7014_cov_4.871270	7014	NA	61452.31434949656	11.413727984448906	low	23.3177068073054	207	CheckV-031597	31.99	19.29	NA	NA	0	1.01
NODE_12_length_6854_cov_30.343958	6854	NA	43848.729022736516	15.631011782453381	high	3.896834889588	3	CheckV-054222	72.7	19.32	NA	NA	0	1.0
NODE_13_length_6847_cov_5.097046	6847	NA	520972.6450323183	1.3142724604235698	low	25.0788091068301	2	CheckV-021782	32.5	11.64	NA	NA	0	1.0
NODE_14_length_6784_cov_4.875056	6784	NA	171749.92843674216	3.949928865617338	low	23.0547056367741	24	CheckV-050294	30.6	24.22	NA	NA	0	1.0
NODE_15_length_6700_cov_4.563793	6700	NA	121222.8854710199	5.5270091731991755	low	23.3876629889669	4	CheckV-047990	25.9	33.9	NA	NA	0	1.0
NODE_16_length_6653_cov_3.767184	6653	NA	591499.0404229539	1.124769364840008	low	14.8948266060262	21	CheckV-050033	49.1	18.13	NA	NA	0	1.0
NODE_17_length_6650_cov_5.144531	6650	NA	52614.65849530745	12.639063314633306	low	26.7004593115816	3	CheckV-003032	20.8	30.64	NA	NA	0	1.0
NODE_18_length_6625_cov_39.948992	6625	NA	54684.5	12.11495030584535	low	16.0458909824481	2	CheckV-054193	35.77	28.87	NA	NA	0	1.0
NODE_19_length_6605_cov_4.660386	6605	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_20_length_6592_cov_4.933231	6592	NA	205125.7583649547	3.213638332184335	low	10.3521671826625	516	CheckV-027970	49.5	36.45	NA	NA	0	1.0
NODE_21_length_6489_cov_40.362913	6489	NA	210308.11854282973	3.0854728980319894	low	13.9757982883961	492	CheckV-027970	38.5	31.79	NA	NA	0	1.0
NODE_22_length_6476_cov_4.584466	6476	NA	261220.0	2.47913636015619	low	15.1657311952622	1	CheckV-015755	39.0	23.51	NA	NA	0	1.0
NODE_23_length_6424_cov_4.848747	6424	NA	99059.4218442039	6.484996460107926	low	25.7555927270877	3	CheckV-050980	29.4	14.17	NA	NA	0	1.0
NODE_24_length_6401_cov_35.979285	6401	NA	173220.57421792895	3.6952885238371835	medium	8.38293115600352	19	CheckV-061348	53.5	28.7	NA	NA	0	1.0
NODE_25_length_6380_cov_4.864192	6380	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_26_length_6264_cov_4.154356	6264	NA	193838.43290314762	3.2315572852004224	low	19.4362889019378	53	CheckV-012033	36.1	18.35	NA	NA	0	1.0
NODE_27_length_6119_cov_4.996690	6119	NA	107072.12533372885	5.714839395340227	low	14.6911520575663	7	CheckV-004860	32.6	33.05	NA	NA	0	1.0
NODE_28_length_6109_cov_4.485577	6109	NA	471791.03807545226	1.2948529130438895	low	10.5109807662868	8	CheckV-048044	85.2	15.63	NA	NA	0	1.02
NODE_29_length_6085_cov_30.800433	6085	NA	194701.4329340567	3.125298005413717	low	15.1657311952622	22	CheckV-046604	41.6	24.11	NA	NA	0	1.0
NODE_30_length_6075_cov_33.801267	6075	NA	39643.0	15.324269101732966	low	15.3193146439558	1	CheckV-054186	85.0	9.83	NA	NA	0	1.97
NODE_31_length_6052_cov_4.570544	6052	NA	1199618.1118026208	0.5044938835498147	low	27.3188716901985	13	CheckV-049876	26.6	19.85	NA	NA	0	1.0
NODE_32_length_6037_cov_4.686913	6037	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_33_length_6024_cov_38.955608	6024	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_34_length_6003_cov_5.003881	6003	NA	180292.1040500394	3.329596729501748	low	11.1328258931633	4	CheckV-001756	48.3	24.05	NA	NA	0	1.0
NODE_35_length_5891_cov_4.641727	5891	NA	182879.5755661697	3.2212454462245357	low	22.6418050767784	12	CheckV-010896	28.07	32.09	NA	NA	0	1.0
NODE_36_length_5881_cov_5.047381	5881	NA	104408.04615697253	5.632707647031529	medium	8.40200644930133	933	CheckV-059944	40.6	56.3	NA	NA	0	1.0
NODE_37_length_5858_cov_5.190624	5858	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_38_length_5857_cov_5.256920	5857	NA	88459.86332752442	6.621081900516102	low	12.2245323052055	2	CheckV-047984	24.3	55.13	NA	NA	0	1.0
NODE_39_length_5793_cov_34.334500	5793	NA	47789.025325494345	12.122030027905943	high	1.52052044383269	9	CheckV-048390	84.48	95.69	8.21191629768661	14.434314269326014	8	1.0
NODE_40_length_5784_cov_29.101104	5784	NA	79975.0	7.232260081275399	low	23.3177068073054	1	CheckV-001005	30.5	18.77	NA	NA	0	1.0
NODE_41_length_5767_cov_3.423902	5767	NA	349180.6493352326	1.6515806391273884	low	15.1657311952622	10	CheckV-001540	38.2	23.06	NA	NA	0	1.0
NODE_42_length_5759_cov_4.112636	5759	NA	629073.7286603394	0.9154729783843034	low	16.0736975857687	21	CheckV-048520	46.1	20.54	NA	NA	0	1.0
NODE_43_length_5726_cov_4.725615	5726	NA	69508.40476985389	8.23785270135187	low	26.9656238848579	33	CheckV-027077	42.5	8.1	NA	NA	0	1.0
NODE_44_length_5714_cov_4.295370	5714	2069	94780.27657795486	2.1829436193914136	high	3.81315232098177	3	CheckV-048054	75.9	39.83	1.4	4.81	1	1.0
NODE_45_length_5705_cov_43.921997	5705	NA	113708.85781485117	5.017199283884538	low	23.3177068073054	13	CheckV-032676	28.1	20.83	NA	NA	0	1.0
NODE_46_length_5686_cov_34.477982	5686	NA	34100.0	16.674486803519063	medium	8.16402444995913	1	CheckV-060261	50.3	43.4	NA	NA	0	1.0
NODE_47_length_5659_cov_28.663741	5659	NA	53766.71728231993	10.525098585218712	low	15.1657311952622	15	CheckV-032985	42.3	26.9	NA	NA	0	1.0
NODE_48_length_5626_cov_4.317535	5626	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_49_length_5624_cov_37.833604	5624	NA	70240.31748426022	8.006797522320785	low	13.1645631304517	4	CheckV-060897	72.3	14.75	NA	NA	0	1.0
NODE_50_length_5583_cov_5.092263	5583	NA	101662.40516698173	5.491705602311745	low	23.3177068073054	24	CheckV-029165	28.4	18.47	NA	NA	0	1.0
NODE_51_length_5571_cov_39.162359	5571	NA	2077288.0	0.2681862120225987	low	26.2236590521136	1	CheckV-051387	26.7	28.2	NA	NA	0	1.0
NODE_52_length_5569_cov_5.481428	5569	NA	54619.0	10.196085611234185	low	16.0458909824481	1	CheckV-048054	33.2	28.39	NA	NA	0	1.0
NODE_53_length_5565_cov_30.039541	5565	NA	204576.03851976455	2.720259928907731	low	25.4390035413359	33	CheckV-044193	38.4	15.16	NA	NA	0	1.0
NODE_54_length_5545_cov_48.761704	5545	NA	104771.0	5.292495060656098	low	16.0458909824481	1	CheckV-000708	33.7	27.7	NA	NA	0	1.0
NODE_55_length_5544_cov_4.974758	5544	NA	189241.0595210648	2.9295967873097255	medium	6.78473434771764	326	CheckV-023449	36.02	64.38	NA	NA	0	1.0
NODE_56_length_5544_cov_4.918785	5544	NA	349510.44717532065	1.5862186795289215	low	16.354663036079	39	CheckV-002649	39.3	20.33	NA	NA	0	1.0
NODE_57_length_5537_cov_5.627473	5537	NA	264366.06635782216	2.094444296986896	low	15.1657311952622	14	CheckV-011374	38.2	23.71	NA	NA	0	1.0
NODE_58_length_5519_cov_70.470967	5519	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.97
NODE_59_length_5496_cov_42.088208	5496	NA	113384.12642295974	4.847239356502275	low	25.7423874966316	9	CheckV-061360	35.3	15.06	NA	NA	0	1.0
NODE_60_length_5486_cov_37.269921	5486	NA	115154.0	4.7640550914427635	low	10.4744923756553	1	CheckV-050980	31.5	52.47	NA	NA	0	1.0
NODE_61_length_5474_cov_4.432648	5474	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_62_length_5460_cov_31.561397	5460	NA	222914.03520325568	2.4493747085155526	low	25.7423874966316	47	CheckV-025372	36.2	14.62	NA	NA	0	1.0
NODE_63_length_5459_cov_33.304534	5459	NA	52543.768357305074	10.389433743841945	low	25.7423874966316	2	CheckV-021806	35.4	13.22	NA	NA	0	1.0
NODE_64_length_5444_cov_36.766723	5444	NA	356562.4328269782	1.526801339344041	medium	9.60676095205243	115	CheckV-060897	56.5	24.59	NA	NA	0	1.0
NODE_65_length_5423_cov_33.578750	5423	NA	72855.95360143887	7.4434548337212325	low	23.0547056367741	2	CheckV-000708	31.6	27.37	NA	NA	0	1.0
NODE_66_length_5420_cov_39.276249	5420	NA	68198.932180266	7.947338509162652	low	16.7746825248758	19	CheckV-002919	35.3	26.1	NA	NA	0	1.0
NODE_67_length_5418_cov_30.623853	5418	NA	39953.0	13.560934097564639	low	19.4362889019378	1	CheckV-054221	33.7	19.28	NA	NA	0	1.0
NODE_68_length_5416_cov_4.733283	5416	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_69_length_5394_cov_68.832989	5394	NA	50192.250716972696	10.74667886566003	low	13.0126738159548	4	CheckV-053290	43.9	26.21	NA	NA	0	1.01
NODE_70_length_5389_cov_5.557417	5389	NA	99923.0	5.393152727600252	low	19.5078163840247	1	CheckV-002201	23.9	38.16	NA	NA	0	1.0
NODE_71_length_5362_cov_40.582592	5362	NA	152956.16635952712	3.505579492229487	low	22.9181591811457	8	CheckV-013478	49.6	8.4	NA	NA	0	1.0
NODE_72_length_5360_cov_3.985614	5360	NA	39778.18279153982	13.474723136774328	high	2.07253886010363	68	CheckV-027561	81.32	83.44	12.668480612654307	13.86171071338545	9	1.0
NODE_73_length_5328_cov_36.511712	5328	NA	217929.144688784	2.4448313269933246	low	16.0736975857687	51	CheckV-014862	45.9	21.84	NA	NA	0	1.0
NODE_74_length_5319_cov_4.930370	5319	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_75_length_5304_cov_4.190932	5304	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
NODE_76_length_5277_cov_27.544808	5277	NA	129457.88815222164	4.076229015720616	low	10.3161857728861	28	CheckV-016918	27.6	47.21	NA	NA	0	1.05
NODE_77_length_5241_cov_4.052866	5241	NA	242325.48057171033	2.1627936062006707	low	25.7555927270877	37	CheckV-003946	28.0	16.78	NA	NA	0	1.0
NODE_78_length_5229_cov_4.903144	5229	NA	157550.80162662797	3.318929479262158	low	22.6418050767784	23	CheckV-026293	29.7	28.29	NA	NA	0	1.0
